Model,MRR,Hits@1,Hits@5,Hits@10,Variance,Embedding_Dim
Transh,0.1960753798484802,0.18358125955790353,0.20415681912970943,0.210621437508689,1093800.25,64
Rotate,0.14709621667861938,0.1280411511191436,0.1627971639093563,0.17649103294870014,3251453.25,256
Transe,0.05923406407237053,0.027665786181009313,0.08946197692200751,0.10670095926595301,2440683.0,64
Distmult,0.051103413105010986,0.04532184067843737,0.05637425274572501,0.059363269845683304,7627781.5,256
Complex,0.0017361855134367943,0.0004170721534825525,0.0015987765883497846,0.0025719449464757403,6707285.0,256
