edition_id,proceedings_id
ISoSEfAaSS_2021,proceedings_185
ISoSTaA_2023,proceedings_186
ISoVMaV_2021,proceedings_187
ITC_2020,proceedings_188
IUPSICoECaEE_2022,proceedings_189
IUPSICoECaEE_2023,proceedings_190
IVNC_2020,proceedings_191
IWCaNC_2021,proceedings_192
IWoMLfSP_2021,proceedings_193
IWoQoS_2021,proceedings_194
IWoSARaI_2022,proceedings_195
IWoSDaIAiC_2022,proceedings_196
IWoSPAiWC_2023,proceedings_197
IWoSaSMAaP_2023,proceedings_198
I_2020,proceedings_199
I_2021,proceedings_200
IaCTC_2020,proceedings_201
MCoEC_2022,proceedings_202
MIE_2022,proceedings_203
NIPS_2020,proceedings_204
NIPS_2021,proceedings_205
NIPS_2023,proceedings_206
PCoKDaDM_2021,proceedings_207
RiAaCS_2023,proceedings_208
SAS_2022,proceedings_209
SEpBdD_2021,proceedings_210
S_2021,proceedings_211
USS_2023,proceedings_212
WFoIoT_2022,proceedings_213
WFoIoT_2023,proceedings_214
WSaDM_2020,proceedings_215
