proceedings_id,paper_id
proceedings_103,00002d31a8c758062a51d9a259313d81a5eaf399
proceedings_080,00005d68c6c7eb4d3c27da8242a30b9a498f991e
proceedings_044,000099f496c1d97729700a77931d98b28a42d5df
proceedings_005,0000f2eb98405f7d4044761c1707a199ac6189bc
proceedings_143,0001732a8f4f8443731a16387dda81c61a7bf108
proceedings_144,0002b568154d66ae99ead0427c3f9795a46e9029
proceedings_169,00040bdd447f041a50ae95fd51926cf435ef1eba
proceedings_171,00044a527a0642b08f385cda845331f0fc8cbbfd
proceedings_016,00059087c954c1af6ece33115315e3e0ecc2f2c2
proceedings_026,000734d25e1952d5dd1d5af66a88fd7e565abf33
proceedings_078,0007b8b92d6422cb022914a5c626036286eb1a27
proceedings_017,0009c4975fcb502a4af0e53d46ec6255c13216a1
proceedings_122,000b53134b805be72e269cd79463dff4fd59d9f7
proceedings_100,000bd1e06b5813a19a9317d62d414b4042ce89ad
proceedings_119,000d02535797fd8ca7b0f04edcbf356e089a5338
proceedings_178,000dca71877ed893ed8bfd6ad2dcd3a3f7abff90
proceedings_070,000ddbbb741b127f795dd09f748b2c508a54a5a3
proceedings_211,000e62ca8505e3a5d04f851a78e0cee6549e4583
proceedings_149,00102bcb9310a0410ca8462d5b8df900e3352f5d
proceedings_126,001130846b34ba425a94443382f5dc7db92e048a
proceedings_210,0012be5d3d625717ebaabb4aa5c7ff854dc16a5a
proceedings_067,0013b0fb32809804b613681381979f61047a586f
proceedings_158,001585ee486c399043bb3f2ebfc84cfc0014aea8
proceedings_151,0017372ff28b2330352af629d2e4901ec4ffafce
proceedings_059,00179e35d499fc9668dfda2923ecbfa4aa8a6225
proceedings_091,00184199c99e5feed6e1fb52bce3721dcee9f567
proceedings_039,001a4a6cafe5a0e328aea5d92bec8db9e019b8cb
proceedings_195,001adcb8cde649af7213ffa660d66143e8f8ee68
proceedings_206,001d1f33bdb4133f42138910c79f20a7ed00abfa
proceedings_142,001d9273ad91fbe71c2c32fd926dc213e10d98c6
proceedings_171,001d9b4e71b4031ecf7dd4b7bb6e32ac45102eca
proceedings_079,001e1a4380e7b0ffe2ec7fe34c6135b7f416b137
proceedings_135,001e3b95a7814f5547a39d63cd4727fcc288b9ec
proceedings_162,001eb5709572a014485bbcf1e983442351d05f80
proceedings_160,001f207cc7a80ad08cdbab2b8eca23b0a8618cb3
proceedings_182,001f57b2f330304224c85d73091c6af31cf91b78
proceedings_117,001f9f243d239b9514d57e233d462fee1529012d
proceedings_204,00215f32433e4e69ddb5a678b3f02568334d67ca
proceedings_148,002419348bc4f97db77338d125064c673c4a1ce7
proceedings_029,00247f60e652c4e0b009d7e2744cb29472ae9ddd
proceedings_188,00249b0afa216c67eb8913821c332b4e77d4fa4d
proceedings_177,0027b91df1226beb0bee907f1785d5171fff11e0
proceedings_067,00283acbdad795cdfcc130a61af1c0abc0642c2f
proceedings_152,00293c74ecdedb9afa1a52a8c911eae7a418fd5d
proceedings_172,002af81e9c2ec4361890465809ecdd1dabcaae18
proceedings_170,002b5b830c6c7f312dd82cf936b6204bd4018de6
proceedings_084,002ca9eeb8de246f430f8c5ea4b60c5b3165aeac
proceedings_069,003020856c6cfbdecb7f71ca8fb53bfa75e2efec
proceedings_157,00309b5b1fa392c3eead280c4483ff9d7dda7616
proceedings_206,003186bc4161c9e7d35f805c5c7d7e1a70320a0f
proceedings_155,0034e0660204c8d026cb4b2abae76d78a3794330
proceedings_014,0034e7fbecc7fd77fa3f9c8c42fe3c07c0d971db
proceedings_049,003771ce525074f4398d4b88fbdf45dcbab2144a
proceedings_011,0038069fee6b7a4421dc5ddad8c80a8d5533902e
proceedings_105,0038d76cdfb13a539e52975b5b26616bc658e23e
proceedings_200,003a94076c5178cc7afa4729e32d0ce3075b600c
proceedings_170,003b4013b059084e443fb896a72962355466bdbf
proceedings_136,003de3b656490a0878dbde768d6161ffb48d9729
proceedings_120,003e046b2ac10e333315e206ab3eb7a614d73288
proceedings_071,003e92652f88ef316ad3ba85bf37705716593e40
proceedings_130,003ea162c0c0ef70d57b7f18301f98329b821f35
proceedings_169,003fd4c1c8b370de0be5eca6068604dbf8c46a62
proceedings_116,004003dec2303cd9f5603ea12f595db7d3c16cf9
proceedings_020,00406a27e9c26d2c35ddaf1e105c2bdd77109c61
proceedings_189,0040d93083d808e70bb8f16126891242ff9e5dfc
proceedings_065,004147dab6dc3372133f551f06d40d0aecc2951e
proceedings_131,0044dd303afa90fb0d42de800bd658c4fda03baf
proceedings_042,00460ea4a5c5b721eea657fd4e17c041752bdec8
proceedings_009,0047110e62edb20e946f6d4e498e2506066c67ad
proceedings_107,00475e45e3a5a5e0fbb03d6fafd9ee4e728861b6
proceedings_075,0048cb4bb4a571958ae598afee155cf6a23b765a
proceedings_042,004942e3402c0e267190640edc9e54dc2fba73cf
proceedings_043,004b34a845d747001ba6e9a2e4da2e55e53a5c71
proceedings_121,004c3e633109963c63f43746820365e68faff6b3
proceedings_123,004ce30de70a9d554aa990ee22533ff73a4faf42
proceedings_134,004e4647b4d1ca4d4fe97657eff7ccf256eb92f7
proceedings_190,004e8bddeffe454c9d08f2d9da9ba007e22ef0e0
proceedings_209,004f4b5bb845cc4b50adec8281ac2350c9eb1249
proceedings_127,0050941bd14c1f30d3178aa54974ba2b3dfaf1d7
proceedings_036,0050f655ab3754c19af68a14141d6da87e240382
proceedings_141,00511b1530a5d7c420525f39fe51f5e360fd9986
proceedings_145,0051ed2a0e219c1ceabfd76d9993ab46297d115d
proceedings_018,0052431128ba8d5fb066a54764841c7ccb28729b
proceedings_161,0052963c46c261075548f0bbd8f645187e21424d
proceedings_113,0053f9529c11a98ee907d26b062d73227195aca6
proceedings_187,0054630486a51fb76c9db83a666d7e03a4fda53e
proceedings_132,0054fd46347666df33209aa6e55d99c3df365d3b
proceedings_165,005681ba2b4630022ee0b8c66a399eedbb032ed8
proceedings_146,005707a44d49983edb14d5c9160d049f2e77ef33
proceedings_207,005765a820be2675be45d75a2087a4f034917c70
proceedings_180,0057a4308e5ddc800b3352f8ce49c86dcb2d517a
proceedings_104,0058bd77c06fc54f21aea285211ddf0d88a02156
proceedings_215,005aa972be041d5df51cd0fb0ce6f9d521604cca
proceedings_214,005ab9d7fda38605373216ea6aa9daf8d0e695c2
proceedings_013,005ba0b22960b45f854487ad239017d90f4d1f61
proceedings_201,005ba915511ceffd97386271138c901020ad7f5c
proceedings_179,005baabab9daded9783117b652832cc06c18ccdb
proceedings_138,005c28919b519ba56298e1448ffcbcf52b639c57
proceedings_129,005d412af8dd4b60b9f1cf462597fbdcdf955290
proceedings_213,005f9dbfcad6283accd9987a709d3ab6bcff18a8
proceedings_203,0060c25ccc17eb5b2d1b5a6b63c674684d6d27f4
proceedings_169,00614a92b5e0db61a70f04f5c9f0897c519781f2
proceedings_212,00630c05a4b2f17fb03120b0af09368291ba44e9
proceedings_045,0066485d7295a0132af6407e7bc669b8bfcc7afa
