paper_id,edition_id
00002d31a8c758062a51d9a259313d81a5eaf399,ICoISfCRaM_2020
00005d68c6c7eb4d3c27da8242a30b9a498f991e,ICoCaNS_2023
000099f496c1d97729700a77931d98b28a42d5df,ICIEaT_2023
0000f2eb98405f7d4044761c1707a199ac6189bc,ACoAI_2023
0001732a8f4f8443731a16387dda81c61a7bf108,IICoBaB_2021
0002b568154d66ae99ead0427c3f9795a46e9029,IICoCE_2022
00040bdd447f041a50ae95fd51926cf435ef1eba,INCoS_2021
00044a527a0642b08f385cda845331f0fc8cbbfd,INCoS_2023
00059087c954c1af6ece33115315e3e0ecc2f2c2,AMotAfCL_2020
000734d25e1952d5dd1d5af66a88fd7e565abf33,CaCWaC_2023
0007b8b92d6422cb022914a5c626036286eb1a27,ICoCT_2020
0009c4975fcb502a4af0e53d46ec6255c13216a1,ASSCMLwKE_2022
000b53134b805be72e269cd79463dff4fd59d9f7,ICoNiEaR_2020
000bd1e06b5813a19a9317d62d414b4042ce89ad,ICoII_2022
000d02535797fd8ca7b0f04edcbf356e089a5338,ICoMaMViP_2023
000dca71877ed893ed8bfd6ad2dcd3a3f7abff90,ISoADS_2023
000ddbbb741b127f795dd09f748b2c508a54a5a3,ICoCIaCN_2022
000e62ca8505e3a5d04f851a78e0cee6549e4583,S_2021
00102bcb9310a0410ca8462d5b8df900e3352f5d,IICoMaE_2023
001130846b34ba425a94443382f5dc7db92e048a,ICoRAaIiE_2023
0012be5d3d625717ebaabb4aa5c7ff854dc16a5a,SEpBdD_2021
0013b0fb32809804b613681381979f61047a586f,ICoCCaNT_2023
001585ee486c399043bb3f2ebfc84cfc0014aea8,IIGaRSS_2020
0017372ff28b2330352af629d2e4901ec4ffafce,IICoSAEaR_2021
00179e35d499fc9668dfda2923ecbfa4aa8a6225,ICoCCCaa_2023
00184199c99e5feed6e1fb52bce3721dcee9f567,ICoEaEE_2023
001a4a6cafe5a0e328aea5d92bec8db9e019b8cb,HAIS_2021
001adcb8cde649af7213ffa660d66143e8f8ee68,IWoSARaI_2022
001d1f33bdb4133f42138910c79f20a7ed00abfa,NIPS_2023
001d9273ad91fbe71c2c32fd926dc213e10d98c6,IICoASaSP_2021
001d9b4e71b4031ecf7dd4b7bb6e32ac45102eca,INCoS_2023
001e1a4380e7b0ffe2ec7fe34c6135b7f416b137,ICoCaES_2022
001e3b95a7814f5547a39d63cd4727fcc288b9ec,ICoSaDT_2022
001eb5709572a014485bbcf1e983442351d05f80,IISoHOSaT_2021
001f207cc7a80ad08cdbab2b8eca23b0a8618cb3,IIJCoNN_2020
001f57b2f330304224c85d73091c6af31cf91b78,ISoIT_2021
001f9f243d239b9514d57e233d462fee1529012d,ICoMLaC_2020
00215f32433e4e69ddb5a678b3f02568334d67ca,NIPS_2020
002419348bc4f97db77338d125064c673c4a1ce7,IICoHI_2021
00247f60e652c4e0b009d7e2744cb29472ae9ddd,CoCaCS_2020
00249b0afa216c67eb8913821c332b4e77d4fa4d,ITC_2020
0027b91df1226beb0bee907f1785d5171fff11e0,ISaSC_2023
00283acbdad795cdfcc130a61af1c0abc0642c2f,ICoCCaNT_2023
00293c74ecdedb9afa1a52a8c911eae7a418fd5d,IICoSGC_2022
002af81e9c2ec4361890465809ecdd1dabcaae18,IN_2023
002b5b830c6c7f312dd82cf936b6204bd4018de6,INCoS_2022
002ca9eeb8de246f430f8c5ea4b60c5b3165aeac,ICoDSM&P_2020
003020856c6cfbdecb7f71ca8fb53bfa75e2efec,ICoCIaCN_2020
00309b5b1fa392c3eead280c4483ff9d7dda7616,IICoe_2022
003186bc4161c9e7d35f805c5c7d7e1a70320a0f,NIPS_2023
0034e0660204c8d026cb4b2abae76d78a3794330,IICoSQRaSC_2023
0034e7fbecc7fd77fa3f9c8c42fe3c07c0d971db,AIaSC_2023
003771ce525074f4398d4b88fbdf45dcbab2144a,ICoACaSS_2022
0038069fee6b7a4421dc5ddad8c80a8d5533902e,AICoMDELaS_2020
0038d76cdfb13a539e52975b5b26616bc658e23e,ICoITaEE_2023
003a94076c5178cc7afa4729e32d0ce3075b600c,I_2021
003b4013b059084e443fb896a72962355466bdbf,INCoS_2022
003de3b656490a0878dbde768d6161ffb48d9729,ICoTSaPiCaC_2022
003e046b2ac10e333315e206ab3eb7a614d73288,ICoNIP_2020
003e92652f88ef316ad3ba85bf37705716593e40,ICoCIaIS_2023
003ea162c0c0ef70d57b7f18301f98329b821f35,ICoSCaPR_2022
003fd4c1c8b370de0be5eca6068604dbf8c46a62,INCoS_2021
004003dec2303cd9f5603ea12f595db7d3c16cf9,ICoMLaA_2023
00406a27e9c26d2c35ddaf1e105c2bdd77109c61,CCaDC_2020
0040d93083d808e70bb8f16126891242ff9e5dfc,IUPSICoECaEE_2022
004147dab6dc3372133f551f06d40d0aecc2951e,ICoCCaNT_2020
0044dd303afa90fb0d42de800bd658c4fda03baf,ICoSGaGIS_2021
00460ea4a5c5b721eea657fd4e17c041752bdec8,ICBBaB_2020
0047110e62edb20e946f6d4e498e2506066c67ad,AICSaAC_2020
00475e45e3a5a5e0fbb03d6fafd9ee4e728861b6,ICoLAaK_2020
0048cb4bb4a571958ae598afee155cf6a23b765a,ICoCSaAI_2021
004942e3402c0e267190640edc9e54dc2fba73cf,ICBBaB_2020
004b34a845d747001ba6e9a2e4da2e55e53a5c71,ICICaCS_2022
004c3e633109963c63f43746820365e68faff6b3,ICoNIS_2020
004ce30de70a9d554aa990ee22533ff73a4faf42,ICoNotF_2023
004e4647b4d1ca4d4fe97657eff7ccf256eb92f7,ICoSaC_2021
004e8bddeffe454c9d08f2d9da9ba007e22ef0e0,IUPSICoECaEE_2023
004f4b5bb845cc4b50adec8281ac2350c9eb1249,SAS_2022
0050941bd14c1f30d3178aa54974ba2b3dfaf1d7,ICoRC_2021
0050f655ab3754c19af68a14141d6da87e240382,FIaMotH_2021
00511b1530a5d7c420525f39fe51f5e360fd9986,IIC_2020
0051ed2a0e219c1ceabfd76d9993ab46297d115d,IICoECaCT_2022
0052431128ba8d5fb066a54764841c7ccb28729b,BEIC_2023
0052963c46c261075548f0bbd8f645187e21424d,IISoBI_2021
0053f9529c11a98ee907d26b062d73227195aca6,ICoML_2021
0054630486a51fb76c9db83a666d7e03a4fda53e,ISoVMaV_2021
0054fd46347666df33209aa6e55d99c3df365d3b,ICoSNAMaS_2021
005681ba2b4630022ee0b8c66a399eedbb032ed8,IJCoAI_2022
005707a44d49983edb14d5c9160d049f2e77ef33,IICoET_2022
005765a820be2675be45d75a2087a4f034917c70,PCoKDaDM_2021
0057a4308e5ddc800b3352f8ce49c86dcb2d517a,ISoCaS_2023
0058bd77c06fc54f21aea285211ddf0d88a02156,ICoIT_2022
005aa972be041d5df51cd0fb0ce6f9d521604cca,WSaDM_2020
005ab9d7fda38605373216ea6aa9daf8d0e695c2,WFoIoT_2023
005ba0b22960b45f854487ad239017d90f4d1f61,AISoMAHNaC_2023
005ba915511ceffd97386271138c901020ad7f5c,IaCTC_2020
005baabab9daded9783117b652832cc06c18ccdb,ISoCA_2021
005c28919b519ba56298e1448ffcbcf52b639c57,ICoVD_2022
005d412af8dd4b60b9f1cf462597fbdcdf955290,ICoSC_2022
005f9dbfcad6283accd9987a709d3ab6bcff18a8,WFoIoT_2022
0060c25ccc17eb5b2d1b5a6b63c674684d6d27f4,MIE_2022
00614a92b5e0db61a70f04f5c9f0897c519781f2,INCoS_2021
00630c05a4b2f17fb03120b0af09368291ba44e9,USS_2023
0066485d7295a0132af6407e7bc669b8bfcc7afa,ICRaAE_2023
00672e6b4a52c3cdd8d947807a15c8995d7b10e9,ICoEDT_2021
0067983f3d8324e78c17dc0b62364cfa6ac0df26,AGLSoV_2021
0068dc37c9806c1ebd05f23b65fe45b63c21bbec,MCoEC_2022
006b05072a87bb1574f6599dbf8ee6193ccc2c89,ICoIP_2023
006c33c13be9b10fb103b844b409c56f1f63e199,ICS_2021
006cef8cb9f4101690dce6b0fcfe5eee918a75cb,IWoSPAiWC_2023
006f733f4a26f45dfe5fa7ce9d84621310446171,ICoAINaA_2021
00702af7d76865b8aa4232aeabdf6e42aed44b8d,IUPSICoECaEE_2023
0072557a0ee70a182c83ef3ae7d18459b242a03f,IVNC_2020
00733624c83051aac53ffa6457e57cb930c3f77c,ICoECaS_2022
0075575a103af7218fc197a74a96cc4114befc03,RiAaCS_2023
007660e6fb81c74ebed1917f7706510eb22568e0,IJCoCSaSE_2020
00783879bd1c7c206139010c93b50d5f87946641,INCoS_2022
00785bba04263584d75de66f2b5f5c5fcaaae4f5,CoCSaIS_2023
007af69844f6d20a0feefb3835f58d4f01863b41,ICoCLaIS_2023
007b1f330e492b17f8f47843d74cd327250c4a0c,ISDC_2020
007d877a23a72b40a8614010b234d3f5d288fe79,DES_2020
007e6dcd62ae2bb3def8bb0a9f4328e247049f59,ICoCCaI_2022
007f189ba93cb0ad1d4dcca582eda86190e11712,INCoS_2023
007f2c44b469a787e819c1aff8cecf13c79d2b30,IICoVLSIoS_2022
007faae408771a5df78ccf08fbfb40937d5c2203,ICoMLOaDS_2020
0080fc730f518efbee0a064391336538cdd2ad79,IPISGTC_2023
0084d3e64f4328aa7e413074eaedfc6712171d7f,AICoCSaA_2022
0085ea37c1070a03732139907317eb4d019183bf,ECoOC_2021
0087f12f32abb08a938cd2a8ab9c68688e6b0cfc,CCaDC_2022
008860e729e48556f148bb39df9e2525d2e788ab,ICoAISE_2021
0088edc8676c9be2ab468ab6838ab668845f32ba,ICoAIaS_2020
00890ceef1fa7fa42c4eac41d0b295495a173eb9,CaCC_2020
008962193eeb2e152245ac10cbde03e9b25f323b,ICoEIS_2020
008a81fd4dea3aee42ddce9a9480e4ac7d0df2bc,IIGaRSS_2023
008cbfbc25e5e2e421db69404ff87579f23c82b6,INCoS_2023
008e92eb13f08c7abd1bf5b73de1649b58f056d6,ICoCIPaAE_2020
008fead0a1d5d290f0530e6e3fc3b90ecb08bcb6,C_2021
009058d63a7749a1b4a35c8726384a3062dd69fa,ICoRMaS_2022
009180525c98d859811f8891c9bf3024a235f062,ICoBDR_2020
00922f26baff660bcf42cdff7c4eec06f38f9d5c,ICoCAaS_2021
0093b354f9c92d8eb161877ca317395282a02d83,ICSASoV_2023
009484a6e807ff1532356c71e3ab1310998a59c5,FIaMotH_2021
0096d662d8093bf2fccdd306499334ddbeb3b3e8,ICoQCaE_2023
009935ee872c20f0f353690fb248b8a7b86a6f0c,ICoS_2020
009a1846ac429b35f0b3a02a7989ef4a46e44a43,"IC""TaI_2022"
009a5f6d6b455b5af325f6853b94b881d9acaabc,ICoICS&T_2020
009e031e77db82bb035b7cbd562d070ce9d505e0,IWoQoS_2021
009e2fbb991e98638d6aa17b2f44f8407467f2b4,ICoML_2022
00a0af9100a2c5f5f9bab91dc51cec538be767f1,CVaPR_2020
00a224af275696d3d8bae6dc91e2dea7eb7355bb,ISoSEfAaSS_2021
00a26776255343d43ab3ca936e17fd71c323aea4,ECoAaP_2022
00a3107e20814da9f8e8a73c6798ad263b06f221,IR1C_2022
00a4a8931416e02f48932f096f0ad4e705beb0ef,ICoAIaS_2021
00a7fabdc9eab59ff1a7bc36eae109ee34fe7a03,ICoWCaMC_2023
00a81cc33b3ce507a4377cd6500ffe996a2447ff,WFoIoT_2023
00a8b4f6ed55b44c51f67806911917c9369d5b11,ICoAIaSC_2023
00a969e596d1612f25a0e5a89ff33a9a5b7bcbe8,ICoAaIS_2022
00a98a37bb919bf504c76769df6152ed16d532ad,ICoCC_2021
00aa4d10c87f3da5706ab213826e71c4ec3163d3,IEDTaMC_2020
00aaa8413195bd6db50da94bc2d7e051ccacd43b,IWCaNC_2021
00aba85bf7040fa59714db286108cbbe3888e2e8,I_2020
00ae7a5984819e595fa9276c34f091ebf0112eb7,IMC_2022
00b0095ea86f6b632e04cea4099ad2f2af98ccc6,DSPaSPEW_2021
00b05b5e2145ecd270354347476e4271bcb9bf5b,ICoIV_2022
00b262cc555e10c7a3c0df2ece1fe2835d4b9ef8,IICoSMCfIT_2021
00b37a181cd07030ce700b7d5fcb3bd838ae7a19,ICoIEaOAoAIS_2020
00b37f80a049a4cf1693a0614b27f438a7c86cde,ICoCCaA_2020
00b7c382955293d3e95645c203543d3852708b20,BfdM_2021
00b823c0abf583221d144c99a1907538238286f9,ICoCCaNT_2021
00b931f5703cbfb74582d8c6fdd52ae202629ee4,IIJCoNN_2020
00b9467eb6587aacb1215df0dccbb32c28a46a31,IICoSGC_2023
00b9f57012aece5bf4fecc87cce3b3df714690f7,IISoQED_2020
00c07a9fa9cd95aa2186bc60136d79846080d005,ACoAI_2023
00c1c62577509298d6f6f75bc8d34725943a7418,ICoML_2022
00c214164356a7597d99c89dad1a9244cfb5ee14,ICoDCSW_2021
00c4cc913002ee9f8205100331292655485b6b70,ICoBSaSP_2023
00c5048de001dcf853ffde9ea91c3f6ad78920f1,IICoFS_2022
00c585e47f3c5fd20c5b94810b321246c032e9a8,HCoAI_2020
00c5abdffe51ab33e745e6804d4821ca59db52d8,I_2020
00c5b81539df6c9160b238955a854b0b24919aca,ICoHIS_2021
00c9341cc9310e8d5404797300237c127235b687,AMaSC_2023
00c939869e0b7e2b71bd3f3df509257c336d62dd,INCoS_2023
00c97821a38ac3a5fad42b9fc69ac74f35244408,NIPS_2021
00c9afd63f647ed348c34233fe3e6b0f979c583e,ICoCSaNT_2022
00c9bef87749b0bf9a0ec8e19c1ac3402e237d9f,ICoMDM_2021
00cb530824753c0ba2f06105b9ad4e7ae03a2908,IIaCPSTC_2021
00cca9d4b73dccbc26eaf8645127e31b24d0e021,ACC_2023
00cd40555c4206f6b5f478041f535e25a5a82efe,ICoFoIT_2022
00ce2c2574c82e07febc3a03130bbd9b107ed393,ICoMLOaDS_2021
00ce5829a509d4532035c4d7c66412ba704ee6c6,ICoMLaC_2023
00cf787add0f7b31f5ddf41d8d9ece1eb4af46ca,ISoSTaA_2023
00d15637f69d043c64f3d8736930688511819736,AIAaI_2020
00d3b4aacc5cc95277f7e3e0f560d79781a4e65a,ACoAI_2022
00d44e38d33314d5c4586ee6ddc5e1adcfd600c7,CaCWaC_2023
00d4d065630a7501dad4d9e629058496ebd71f02,GCC_2022
00d5ee5c590720b25cf61f0fcc1550fbaa87876e,ICoMICaCI_2023
00d717293843d4a842c358730bc4f067e8f4ace4,ACotIIES_2021
00d7e06fb7b435f5eca097b8d342e35392fb3a0c,IRSS_2021
00d828af1015906846450047af87cd65d01fddc8,ICoTaAoST_2021
00d9f928a5b3ba979a24b7c96b4aaa0b1312fd94,IWoSaSMAaP_2023
00daaa63575af068f2c1c58090c2ce61a8d7dd65,AAfTMOaS_2022
00db70d23c8196eafdc3a39db61661613f3bc6b0,ICoACI_2023
00dbe18d9fc47565ee3ab3ee6354d027f1d80f2f,ICoMI_2022
00dc442fe036e3732c8066cbeb44df77d495dec9,IICoRaA_2022
00dcb9b46b847a57fc9f0fc6d88d7676df972992,DAC_2021
00df5cf0d83c48657d453ab8083d8805a67f744f,CoFAaT_2022
00df94f69c56d2c4847827f1f6fbc5b9b5aa791d,INCoS_2021
00e2931b9bb39ea971906a16e29462b4230310c9,ISoIaSPaA_2022
00e2ed18e3f20dd7dec97d352d9ce7823f3d7e66,ICoCPaCT_2023
00e6563b4b8fa21b76fb199b60ecaedeea542fce,IWoMLfSP_2021
00e716794adcf29160c38770dae1f2d8126654b1,ICoDSaAA_2021
00e82a25071e9df42b2fa7b122cc216a9699bdb5,ICoCLatA_2022
00ea24a6f15c450002a8665dfc806c753a4b3892,ICoHS_2020
00ec9c6c353bc66af71af165f2c2a498e4efed41,ICoCCaI_2023
00eca0ba653718274f5b0593a06dda278759d534,INCoS_2020
00ed2b2a0ff9474ab45bd54dd3730638a08a94a2,IUPSICoECaEE_2022
00ef40e9b976f52aeb3395e99ae6b0c2f4e34050,AICoT_2022
00ef71115eac25c3b536e88bf95187db8bd16103,ICoDSiC_2021
00f03bdc9a686dcb53c1dfa2f98124c0e86bb3a5,ICoEIaC_2022
00f0590e18685199e5cbb9a655ff61128ca529ba,ICoDM_2021
00f09e26788c248b3f213eccf06a146f2278f33c,SAS_2022
00f61c73d021b1f491f085d3e3d75fbbbec0e796,ISoHONaET_2020
00f83ac33b9fab9ac638ee7eba4e24052456ccac,ICoCPaCT_2023
00f86a944d77f32d352a766225b4e15491a8f33b,ICoIIP_2021
00f8881ae46fa79387fe6785f04578985b26a588,ICoISaS_2020
00f9256415a6db21b0778b627dec626241dc79b1,IWoSDaIAiC_2022
00fa84ae6e881a0090c7c1a9241e06d4bbead3fe,ICoML_2023
00faf75d54636a1e34b8953b0b7b188f844b877f,CCoEaCE_2022
00fc06a3f85022dc1aa9b7fb71c21cb3162f5611,ICoHFiCS_2023
00fcc6b694b4d4f966598f7c10f4e033075558de,CoAKBC_2020
00fdb503bd8eb5e5de077859b69dfb553bdc1b6d,ICoCCaIP_2022
00fecdc978b068bd75bd81117727d94f6424f343,ICoOT_2020
00ff4ef7fcec066e8100796336ea87f47fe850cd,ICoICaCC_2022
01013f563006c88d91b833335c64691162c13c6d,ISoIT_2022
0101f41200a0fcc2331cd4d0c7cf7d1b5638067f,GCC_2021
0102aa65f441232200ba6c36247a982479ee3c48,ICoCSaIT_2021
0102cf6a9bc3d43ca415dc23f278152a3d9e7340,ICoDH_2021
010396d913f01aea27cbede1f76a52289845f390,ACaIT_2021
0104447752343ed24b998b44f94b71fdeb0d3712,GCC_2022
